estadio;tempo;planta;hibrid_tolerancia;n_pulverizacoes;n_pulverizacoes_caracter;n_cigarrinha
V5-V6;21;11;baixa;0;a_0;0
V5-V6;21;12;baixa;0;a_0;0
V5-V6;21;13;baixa;0;a_0;0
V5-V6;21;14;baixa;0;a_0;0
V5-V6;21;15;baixa;0;a_0;3
V5-V6;21;16;baixa;0;a_0;0
V5-V6;21;17;baixa;0;a_0;1
V5-V6;21;18;baixa;0;a_0;0
V5-V6;21;19;baixa;0;a_0;3
V5-V6;21;20;baixa;0;a_0;1
V5-V6;21;21;baixa;0;a_0;0
V5-V6;21;22;baixa;0;a_0;0
V5-V6;21;23;baixa;0;a_0;0
V5-V6;21;24;baixa;0;a_0;1
V5-V6;21;25;baixa;0;a_0;1
V5-V6;21;26;baixa;0;a_0;0
V5-V6;21;27;baixa;0;a_0;0
V5-V6;21;28;baixa;0;a_0;0
V5-V6;21;29;baixa;0;a_0;1
V5-V6;21;30;baixa;0;a_0;0
V5-V6;21;31;baixa;0;a_0;0
V5-V6;21;32;baixa;0;a_0;0
V5-V6;21;33;baixa;0;a_0;0
V5-V6;21;34;baixa;0;a_0;1
V5-V6;21;35;baixa;0;a_0;0
V5-V6;21;36;baixa;0;a_0;0
V5-V6;21;37;baixa;0;a_0;0
V5-V6;21;38;baixa;0;a_0;2
V5-V6;21;39;baixa;0;a_0;1
V5-V6;21;40;baixa;0;a_0;0
V8;28;1;baixa;0;a_0;2
V8;28;2;baixa;0;a_0;1
V8;28;3;baixa;0;a_0;2
V8;28;4;baixa;0;a_0;1
V8;28;5;baixa;0;a_0;0
V8;28;6;baixa;0;a_0;0
V8;28;7;baixa;0;a_0;0
V8;28;8;baixa;0;a_0;0
V8;28;9;baixa;0;a_0;0
V8;28;10;baixa;0;a_0;0
V8;28;11;baixa;0;a_0;1
V8;28;12;baixa;0;a_0;0
V8;28;13;baixa;0;a_0;1
V8;28;14;baixa;0;a_0;0
V8;28;15;baixa;0;a_0;0
V8;28;16;baixa;0;a_0;0
V8;28;17;baixa;0;a_0;1
V8;28;18;baixa;0;a_0;0
V8;28;19;baixa;0;a_0;1
V8;28;20;baixa;0;a_0;0
V8;28;21;baixa;0;a_0;0
V8;28;22;baixa;0;a_0;1
V8;28;23;baixa;0;a_0;0
V8;28;24;baixa;0;a_0;0
V8;28;25;baixa;0;a_0;0
V8;28;26;baixa;0;a_0;1
V8;28;27;baixa;0;a_0;0
V8;28;28;baixa;0;a_0;0
V8;28;29;baixa;0;a_0;1
V8;28;30;baixa;0;a_0;0
V8;28;31;baixa;0;a_0;0
V8;28;32;baixa;0;a_0;1
V8;28;33;baixa;0;a_0;0
V8;28;34;baixa;0;a_0;1
V8;28;35;baixa;0;a_0;0
V8;28;36;baixa;0;a_0;0
V8;28;37;baixa;0;a_0;0
V8;28;38;baixa;0;a_0;0
V8;28;39;baixa;0;a_0;1
V8;28;40;baixa;0;a_0;0
V1-V2;0;1;media;0;a_0;0
V1-V2;0;2;media;0;a_0;0
V1-V2;0;3;media;0;a_0;0
V1-V2;0;4;media;0;a_0;0
V1-V2;0;5;media;0;a_0;0
V1-V2;0;6;media;0;a_0;0
V1-V2;0;7;media;0;a_0;0
V1-V2;0;8;media;0;a_0;0
V1-V2;0;9;media;0;a_0;0
V1-V2;0;10;media;0;a_0;0
V1-V2;0;11;media;0;a_0;0
V1-V2;0;12;media;0;a_0;0
V1-V2;0;13;media;0;a_0;0
V1-V2;0;14;media;0;a_0;0
V1-V2;0;15;media;0;a_0;1
V1-V2;0;16;media;0;a_0;0
V1-V2;0;17;media;0;a_0;0
V1-V2;0;18;media;0;a_0;0
V1-V2;0;19;media;0;a_0;0
V1-V2;0;20;media;0;a_0;0
V1-V2;0;21;media;0;a_0;1
V1-V2;0;22;media;0;a_0;0
V1-V2;0;23;media;0;a_0;0
V1-V2;0;24;media;0;a_0;0
V1-V2;0;25;media;0;a_0;1
V1-V2;0;26;media;0;a_0;0
V1-V2;0;27;media;0;a_0;0
V1-V2;0;28;media;0;a_0;0
V1-V2;0;29;media;0;a_0;0
V1-V2;0;30;media;0;a_0;0
V1-V2;0;31;media;0;a_0;0
V1-V2;0;32;media;0;a_0;0
V1-V2;0;33;media;0;a_0;2
V1-V2;0;34;media;0;a_0;2
V1-V2;0;35;media;0;a_0;0
V1-V2;0;36;media;0;a_0;0
V1-V2;0;37;media;0;a_0;1
V1-V2;0;38;media;0;a_0;0
V1-V2;0;39;media;0;a_0;1
V1-V2;0;40;media;0;a_0;0
V3-V4;7;1;media;0;a_0;0
V3-V4;7;2;media;0;a_0;0
V3-V4;7;3;media;0;a_0;0
V3-V4;7;4;media;0;a_0;1
V3-V4;7;5;media;0;a_0;0
V3-V4;7;6;media;0;a_0;0
V3-V4;7;7;media;0;a_0;0
V3-V4;7;8;media;0;a_0;0
V3-V4;7;9;media;0;a_0;0
V3-V4;7;10;media;0;a_0;0
V3-V4;7;11;media;0;a_0;0
V3-V4;7;12;media;0;a_0;0
V3-V4;7;13;media;0;a_0;0
V3-V4;7;14;media;0;a_0;0
V3-V4;7;15;media;0;a_0;0
V3-V4;7;16;media;0;a_0;0
V3-V4;7;17;media;0;a_0;0
V3-V4;7;18;media;0;a_0;0
V3-V4;7;19;media;0;a_0;0
V3-V4;7;20;media;0;a_0;0
V3-V4;7;21;media;0;a_0;0
V3-V4;7;22;media;0;a_0;0
V3-V4;7;23;media;0;a_0;0
V3-V4;7;24;media;0;a_0;0
V3-V4;7;25;media;0;a_0;0
V3-V4;7;26;media;0;a_0;0
V3-V4;7;27;media;0;a_0;1
V3-V4;7;28;media;0;a_0;1
V3-V4;7;29;media;0;a_0;0
V3-V4;7;30;media;0;a_0;0
V3-V4;7;31;media;0;a_0;1
V3-V4;7;32;media;0;a_0;0
V3-V4;7;33;media;0;a_0;0
V3-V4;7;34;media;0;a_0;0
V3-V4;7;35;media;0;a_0;0
V3-V4;7;36;media;0;a_0;0
V3-V4;7;37;media;0;a_0;0
V3-V4;7;38;media;0;a_0;3
V3-V4;7;39;media;0;a_0;2
V3-V4;7;40;media;0;a_0;0
V4;14;1;media;0;a_0;0
V4;14;2;media;0;a_0;0
V4;14;3;media;0;a_0;0
V4;14;4;media;0;a_0;0
V4;14;5;media;0;a_0;0
V4;14;6;media;0;a_0;0
V4;14;7;media;0;a_0;0
V4;14;8;media;0;a_0;0
V4;14;9;media;0;a_0;0
V4;14;10;media;0;a_0;0
V4;14;11;media;0;a_0;3
V4;14;12;media;0;a_0;2
V4;14;13;media;0;a_0;2
V4;14;14;media;0;a_0;0
V4;14;15;media;0;a_0;0
V4;14;16;media;0;a_0;2
V4;14;17;media;0;a_0;3
V4;14;18;media;0;a_0;2
V4;14;19;media;0;a_0;0
V4;14;20;media;0;a_0;0
V4;14;21;media;0;a_0;0
V4;14;22;media;0;a_0;0
V4;14;23;media;0;a_0;2
V4;14;24;media;0;a_0;0
V4;14;25;media;0;a_0;2
V4;14;26;media;0;a_0;2
V4;14;27;media;0;a_0;2
V4;14;28;media;0;a_0;0
V4;14;29;media;0;a_0;0
V4;14;30;media;0;a_0;0
V4;14;31;media;0;a_0;0
V4;14;32;media;0;a_0;0
V4;14;33;media;0;a_0;0
V4;14;34;media;0;a_0;0
V4;14;35;media;0;a_0;0
V4;14;36;media;0;a_0;0
V4;14;37;media;0;a_0;1
V4;14;38;media;0;a_0;0
V4;14;39;media;0;a_0;0
V4;14;40;media;0;a_0;1
V5-V6;21;1;media;0;a_0;0
V5-V6;21;2;media;0;a_0;0
V5-V6;21;3;media;0;a_0;0
V5-V6;21;4;media;0;a_0;0
V5-V6;21;5;media;0;a_0;1
V5-V6;21;6;media;0;a_0;0
V5-V6;21;7;media;0;a_0;0
V5-V6;21;8;media;0;a_0;0
V5-V6;21;9;media;0;a_0;0
V5-V6;21;10;media;0;a_0;2
V5-V6;21;11;media;0;a_0;0
V5-V6;21;12;media;0;a_0;1
V5-V6;21;13;media;0;a_0;0
V5-V6;21;14;media;0;a_0;0
V5-V6;21;15;media;0;a_0;0
V5-V6;21;16;media;0;a_0;0
V5-V6;21;17;media;0;a_0;0
V5-V6;21;18;media;0;a_0;0
V5-V6;21;19;media;0;a_0;0
V5-V6;21;20;media;0;a_0;0
V5-V6;21;21;media;0;a_0;0
V5-V6;21;22;media;0;a_0;0
V5-V6;21;23;media;0;a_0;1
V5-V6;21;24;media;0;a_0;0
V5-V6;21;25;media;0;a_0;0
V5-V6;21;26;media;0;a_0;1
V5-V6;21;27;media;0;a_0;0
V5-V6;21;28;media;0;a_0;0
V5-V6;21;29;media;0;a_0;0
V5-V6;21;30;media;0;a_0;0
V5-V6;21;31;media;0;a_0;0
V5-V6;21;32;media;0;a_0;0
V5-V6;21;33;media;0;a_0;0
V5-V6;21;34;media;0;a_0;1
V5-V6;21;35;media;0;a_0;0
V5-V6;21;36;media;0;a_0;0
V5-V6;21;37;media;0;a_0;0
V5-V6;21;38;media;0;a_0;0
V5-V6;21;39;media;0;a_0;0
V5-V6;21;40;media;0;a_0;0
V8;28;1;media;0;a_0;0
V8;28;2;media;0;a_0;0
V8;28;3;media;0;a_0;0
V8;28;4;media;0;a_0;0
V8;28;5;media;0;a_0;0
V8;28;6;media;0;a_0;0
V8;28;7;media;0;a_0;0
V8;28;8;media;0;a_0;0
V8;28;9;media;0;a_0;1
V8;28;10;media;0;a_0;0
V8;28;11;media;0;a_0;0
V8;28;12;media;0;a_0;0
V8;28;13;media;0;a_0;0
V8;28;14;media;0;a_0;0
V8;28;15;media;0;a_0;0
V8;28;16;media;0;a_0;2
V8;28;17;media;0;a_0;0
V8;28;18;media;0;a_0;0
V8;28;19;media;0;a_0;0
V8;28;20;media;0;a_0;0
V8;28;21;media;0;a_0;0
V8;28;22;media;0;a_0;3
V8;28;23;media;0;a_0;0
V8;28;24;media;0;a_0;0
V8;28;25;media;0;a_0;0
V8;28;26;media;0;a_0;0
V8;28;27;media;0;a_0;0
V8;28;28;media;0;a_0;1
V8;28;29;media;0;a_0;0
V8;28;30;media;0;a_0;0
V8;28;31;media;0;a_0;0
V8;28;32;media;0;a_0;0
V8;28;33;media;0;a_0;1
V8;28;34;media;0;a_0;0
V8;28;35;media;0;a_0;1
V8;28;36;media;0;a_0;0
V8;28;37;media;0;a_0;0
V8;28;38;media;0;a_0;0
V8;28;39;media;0;a_0;0
V8;28;40;media;0;a_0;1
V1-V2;0;1;alta;0;a_0;0
V1-V2;0;2;alta;0;a_0;0
V1-V2;0;3;alta;0;a_0;0
V1-V2;0;4;alta;0;a_0;0
V1-V2;0;5;alta;0;a_0;0
V1-V2;0;6;alta;0;a_0;0
V1-V2;0;7;alta;0;a_0;0
V1-V2;0;8;alta;0;a_0;0
V1-V2;0;9;alta;0;a_0;0
V1-V2;0;10;alta;0;a_0;0
V1-V2;0;11;alta;0;a_0;0
V1-V2;0;12;alta;0;a_0;0
V1-V2;0;13;alta;0;a_0;0
V1-V2;0;14;alta;0;a_0;0
V1-V2;0;15;alta;0;a_0;0
V1-V2;0;16;alta;0;a_0;0
V1-V2;0;17;alta;0;a_0;0
V1-V2;0;18;alta;0;a_0;0
V1-V2;0;19;alta;0;a_0;0
V1-V2;0;20;alta;0;a_0;1
V1-V2;0;21;alta;0;a_0;0
V1-V2;0;22;alta;0;a_0;0
V1-V2;0;23;alta;0;a_0;0
V1-V2;0;24;alta;0;a_0;0
V1-V2;0;25;alta;0;a_0;0
V1-V2;0;26;alta;0;a_0;1
V1-V2;0;27;alta;0;a_0;0
V1-V2;0;28;alta;0;a_0;0
V1-V2;0;29;alta;0;a_0;1
V1-V2;0;30;alta;0;a_0;0
V1-V2;0;31;alta;0;a_0;0
V1-V2;0;32;alta;0;a_0;0
V1-V2;0;33;alta;0;a_0;0
V1-V2;0;34;alta;0;a_0;0
V1-V2;0;35;alta;0;a_0;0
V1-V2;0;36;alta;0;a_0;0
V1-V2;0;37;alta;0;a_0;0
V1-V2;0;38;alta;0;a_0;0
V1-V2;0;39;alta;0;a_0;0
V1-V2;0;40;alta;0;a_0;0
V3-V4;7;1;alta;0;a_0;0
V3-V4;7;2;alta;0;a_0;0
V3-V4;7;3;alta;0;a_0;0
V3-V4;7;4;alta;0;a_0;0
V3-V4;7;5;alta;0;a_0;0
V3-V4;7;6;alta;0;a_0;0
V3-V4;7;7;alta;0;a_0;0
V3-V4;7;8;alta;0;a_0;0
V3-V4;7;9;alta;0;a_0;0
V3-V4;7;10;alta;0;a_0;0
V3-V4;7;11;alta;0;a_0;0
V3-V4;7;12;alta;0;a_0;0
V3-V4;7;13;alta;0;a_0;1
V3-V4;7;14;alta;0;a_0;0
